"","MMA","AIC","BIC","SAIC","SBIC","FULL","LASSO","unadj"
"0.1",0.991,0.9845,0.99,0.99,0.993,0.9825,0.9895,0.9785
"0.15",0.9885,0.986,0.988,0.9905,0.991,0.9835,0.9865,0.9745
"0.2",0.9955,0.988,0.995,0.9935,0.996,0.9835,0.9915,0.975
"0.25",0.991,0.987,0.9915,0.988,0.9915,0.986,0.99,0.9765
"0.3",0.9935,0.99,0.9915,0.992,0.9935,0.988,0.991,0.967
"0.35",0.988,0.9835,0.9875,0.9885,0.9915,0.9825,0.986,0.965
"0.4",0.99,0.9865,0.9875,0.989,0.9915,0.981,0.9895,0.966
"0.45",0.986,0.9825,0.9875,0.986,0.988,0.9805,0.985,0.952
"0.5",0.9875,0.984,0.988,0.9895,0.989,0.984,0.9855,0.9605
"0.55",0.9925,0.993,0.992,0.9935,0.994,0.986,0.9905,0.9545
"0.6",0.9865,0.986,0.987,0.987,0.9895,0.9825,0.9855,0.9525
"0.65",0.9885,0.9885,0.989,0.9895,0.9905,0.9885,0.9875,0.9535
"0.7",0.9925,0.9875,0.99,0.9915,0.991,0.9855,0.991,0.9515
"0.75",0.9895,0.984,0.9875,0.9895,0.9905,0.982,0.9865,0.945
"0.8",0.9885,0.987,0.987,0.9895,0.9875,0.9855,0.9865,0.9445
"0.85",0.986,0.983,0.983,0.986,0.9875,0.9805,0.9835,0.944
"0.9",0.986,0.9815,0.9845,0.9845,0.986,0.9805,0.983,0.958
