"","MMA","AIC","BIC","SAIC","SBIC","FULL","LASSO","unadj"
"0.1",0.997,0.9945,0.9955,0.9965,0.997,0.9925,0.9945,0.9815
"0.15",0.99,0.9885,0.9915,0.991,0.9925,0.985,0.991,0.983
"0.2",0.996,0.995,0.994,0.997,0.9955,0.9925,0.9955,0.973
"0.25",0.9955,0.992,0.994,0.9975,0.9955,0.9905,0.9935,0.971
"0.3",0.9965,0.995,0.9955,0.996,0.9975,0.9915,0.9955,0.9715
"0.35",0.996,0.995,0.995,0.998,0.997,0.9955,0.995,0.964
"0.4",0.994,0.992,0.992,0.994,0.9935,0.987,0.991,0.9595
"0.45",0.9925,0.99,0.9915,0.9925,0.9915,0.987,0.9915,0.9605
"0.5",0.994,0.993,0.993,0.9955,0.9945,0.9925,0.9935,0.962
"0.55",0.9945,0.9945,0.995,0.996,0.9955,0.9905,0.9935,0.957
"0.6",0.994,0.9915,0.9955,0.995,0.995,0.986,0.9935,0.9605
"0.65",0.99,0.989,0.9885,0.991,0.9895,0.9875,0.9895,0.9555
"0.7",0.9945,0.9935,0.994,0.996,0.996,0.991,0.993,0.95
"0.75",0.996,0.9965,0.9945,0.998,0.9965,0.9935,0.9955,0.9545
"0.8",0.9935,0.99,0.994,0.993,0.995,0.991,0.9935,0.9565
"0.85",0.9935,0.991,0.993,0.9925,0.9935,0.989,0.9895,0.9535
"0.9",0.9945,0.992,0.994,0.995,0.9955,0.9885,0.9935,0.9535
