"","MMA","AIC","BIC","SAIC","SBIC","FULL","LASSO","unadj"
"0.1",0.987,0.985,0.987,0.989,0.988,0.9825,0.9885,0.9825
"0.15",0.987,0.9835,0.988,0.987,0.989,0.9835,0.988,0.9735
"0.2",0.991,0.992,0.989,0.994,0.991,0.9835,0.9885,0.9735
"0.25",0.9865,0.987,0.987,0.99,0.988,0.986,0.9875,0.966
"0.3",0.9915,0.99,0.991,0.9925,0.9915,0.988,0.9905,0.965
"0.35",0.99,0.985,0.99,0.9875,0.989,0.9825,0.9875,0.9655
"0.4",0.993,0.989,0.9905,0.9925,0.992,0.981,0.989,0.962
"0.45",0.9855,0.984,0.9845,0.987,0.985,0.9805,0.9825,0.967
"0.5",0.987,0.984,0.988,0.987,0.9895,0.984,0.9855,0.9585
"0.55",0.9905,0.991,0.99,0.9925,0.99,0.986,0.99,0.959
"0.6",0.9895,0.9845,0.9875,0.9885,0.991,0.9825,0.9885,0.953
"0.65",0.987,0.987,0.987,0.99,0.9875,0.9885,0.9875,0.9515
"0.7",0.9885,0.989,0.991,0.992,0.991,0.9855,0.9895,0.9585
"0.75",0.9845,0.9815,0.9865,0.987,0.9875,0.982,0.9845,0.9585
"0.8",0.9895,0.9865,0.988,0.9885,0.99,0.9855,0.9885,0.95
"0.85",0.9875,0.984,0.987,0.9875,0.9875,0.9805,0.9835,0.948
"0.9",0.9865,0.9825,0.9845,0.984,0.9875,0.9805,0.983,0.9565
