"","MMA","AIC","BIC","SAIC","SBIC","FULL","LASSO","unadj"
"0.1",0.995,0.995,0.9945,0.995,0.9955,0.9925,0.9935,0.9865
"0.15",0.9905,0.988,0.9905,0.989,0.992,0.985,0.991,0.974
"0.2",0.994,0.9935,0.9925,0.996,0.994,0.9925,0.9935,0.975
"0.25",0.997,0.995,0.9935,0.997,0.996,0.9905,0.9945,0.9675
"0.3",0.996,0.994,0.9955,0.995,0.997,0.9915,0.995,0.973
"0.35",0.9975,0.997,0.9975,0.999,0.9975,0.9955,0.9975,0.965
"0.4",0.993,0.991,0.9905,0.9925,0.9935,0.987,0.99,0.963
"0.45",0.9925,0.989,0.993,0.991,0.993,0.987,0.9905,0.97
"0.5",0.995,0.992,0.994,0.995,0.9955,0.9925,0.991,0.96
"0.55",0.9955,0.992,0.9945,0.9945,0.996,0.9905,0.9935,0.958
"0.6",0.989,0.9895,0.9895,0.992,0.9915,0.986,0.99,0.9575
"0.65",0.9895,0.987,0.988,0.99,0.9905,0.9875,0.988,0.96
"0.7",0.996,0.991,0.9955,0.9935,0.997,0.991,0.9925,0.9605
"0.75",0.994,0.993,0.994,0.995,0.9945,0.9935,0.994,0.9515
"0.8",0.993,0.9915,0.9935,0.993,0.9935,0.991,0.991,0.956
"0.85",0.9925,0.9895,0.9895,0.993,0.9925,0.989,0.9895,0.9555
"0.9",0.995,0.9945,0.9925,0.9965,0.995,0.9885,0.993,0.958
