"","MMA","AIC","BIC","SAIC","SBIC","FULL","LASSO","unadj"
"0.1",0.468539509528922,0.462383532635939,0.469200339769871,0.48188833469554,0.475146767387712,0.469052567948537,0.46677152545669,0.555824418540748
"0.15",0.468312564367561,0.462062931425471,0.470408953693935,0.481356581693145,0.476045287377655,0.469086667789537,0.466589589922345,0.601626004343563
"0.2",0.469136310735692,0.462874608312345,0.473088389644298,0.48215492944482,0.478021329273468,0.469831770139895,0.467509866126825,0.650873207605631
"0.25",0.469141044409629,0.46312545410649,0.474326240254352,0.482119295701671,0.478647198526013,0.46970588960102,0.467830465226813,0.701901150350158
"0.3",0.469552600507693,0.463579517718582,0.475394844791151,0.48221950097594,0.479396261387141,0.470173210926493,0.468308076880603,0.756115012819086
"0.35",0.46907952227225,0.463238820559518,0.474663476008217,0.48161769935915,0.478818831924082,0.469569761151452,0.467823895650776,0.814847345495369
"0.4",0.469021576696354,0.463300564625975,0.472686368432908,0.481635636774432,0.477855356954581,0.469640109050971,0.467836765419479,0.877770765946852
"0.45",0.469487376028778,0.46374873572498,0.471678819396142,0.481922187718951,0.477833191670821,0.470079477067886,0.468279650826116,0.946973673099234
"0.5",0.469246910854506,0.463584225240766,0.470567726068493,0.481714010852531,0.477073268761122,0.469565032674832,0.467972493204799,1.0236737663525
"0.55",0.469416331943,0.463578865825401,0.470299771354662,0.481210366646986,0.477060552869244,0.469275187618913,0.467864405655153,1.11100682310781
"0.6",0.470269134467187,0.464227680458206,0.471249695819799,0.481498715531326,0.478045591255969,0.469602845650113,0.468356005232301,1.21044104428981
"0.65",0.470396449053671,0.464116847910507,0.471766229387048,0.481202945498345,0.478498544100694,0.469264858258531,0.46819757246884,1.32720000367697
"0.7",0.470616666412032,0.463953463298637,0.472477994456734,0.480572076553075,0.479195586184892,0.468873152086622,0.467898599743186,1.47042700297132
"0.75",0.472897438820576,0.465569165387556,0.47575591946162,0.481656660347095,0.482398676919637,0.4701873362717,0.469382645084964,1.64955146327674
"0.8",0.473416291084918,0.465611609869366,0.477976750105824,0.481345137291982,0.484299185648806,0.469978372651202,0.469289252784435,1.88625549366663
"0.85",0.473750826315177,0.465525760393586,0.481444803775007,0.480308997910081,0.487001625848896,0.469483203789027,0.468894302448674,2.22632819091038
"0.9",0.474753005685967,0.46624687172486,0.485818851872171,0.480117049714352,0.490699331769642,0.469936168129851,0.469198132255133,2.78398822783457
