"","MMA","AIC","BIC","SAIC","SBIC","FULL","LASSO","unadj"
"0.1",0.996,0.993,0.996,0.996,0.996,0.9905,0.995,0.9845
"0.15",0.995,0.989,0.9935,0.994,0.9955,0.9895,0.9935,0.9835
"0.2",0.9925,0.9925,0.9925,0.9955,0.9935,0.991,0.9915,0.9775
"0.25",0.9935,0.9915,0.9925,0.9955,0.994,0.9905,0.994,0.975
"0.3",0.9935,0.9905,0.994,0.9935,0.9955,0.99,0.992,0.973
"0.35",0.995,0.9935,0.995,0.996,0.996,0.9915,0.9955,0.9725
"0.4",0.9945,0.9915,0.995,0.996,0.997,0.9895,0.9935,0.9665
"0.45",0.9965,0.9935,0.996,0.9945,0.9975,0.991,0.9955,0.9675
"0.5",0.995,0.992,0.9945,0.9955,0.9955,0.9885,0.9935,0.959
"0.55",0.9915,0.99,0.9905,0.9925,0.9935,0.988,0.9885,0.9565
"0.6",0.995,0.9925,0.993,0.995,0.9975,0.9915,0.9925,0.9635
"0.65",0.9955,0.992,0.993,0.996,0.996,0.9925,0.9945,0.96
"0.7",0.993,0.9905,0.993,0.992,0.9935,0.987,0.992,0.953
"0.75",0.995,0.9915,0.994,0.995,0.9945,0.9905,0.995,0.9555
"0.8",0.9955,0.9945,0.9945,0.997,0.997,0.9905,0.994,0.9425
"0.85",0.9945,0.994,0.992,0.994,0.995,0.9905,0.9925,0.9545
"0.9",0.995,0.9915,0.992,0.994,0.9945,0.989,0.9925,0.951
