"","MMA","AIC","BIC","SAIC","SBIC","FULL","LASSO","unadj"
"0.1",0.494859921657735,0.48566378731427,0.498401478376987,0.507724422839976,0.506025285259251,0.492682337441428,0.489912224039163,0.610266630371916
"0.15",0.494057847798217,0.485207727279668,0.499147150691688,0.507239669538068,0.506015982041183,0.492454964085014,0.489621238835797,0.66646268948435
"0.2",0.493895306212722,0.485360645759921,0.500015981689045,0.507160489434094,0.506054441497435,0.492562757776902,0.489563668228333,0.724469544915453
"0.25",0.493806478138831,0.485497476385057,0.499259553604659,0.507283711267901,0.505682605012934,0.492467604241531,0.48947942342198,0.784334748843106
"0.3",0.49287205218154,0.484750214286015,0.497224702021723,0.506246247659918,0.504257272742018,0.492108554258591,0.488699103746614,0.847593708669436
"0.35",0.493288470726112,0.485419935572178,0.496584162865136,0.506883294488064,0.504176130821041,0.492690922064159,0.489228997411858,0.915711349114155
"0.4",0.493202505836065,0.485421667855707,0.495814535548379,0.506730607614089,0.503759702266691,0.492512383185422,0.488968038717483,0.989225279439759
"0.45",0.493787591209066,0.486123703965351,0.496225157215487,0.507459023019111,0.504157091751022,0.49328005716343,0.489642212388732,1.0690029443151
"0.5",0.492924655172115,0.485559960350105,0.495756840923403,0.506862383677407,0.503498438466467,0.492688588013,0.488944764881295,1.15819474607976
"0.55",0.493131150633646,0.485668250418917,0.495672919784579,0.506696357354802,0.503513258470687,0.492600298709991,0.488799463472026,1.25656602703269
"0.6",0.493398720847385,0.485891445411949,0.496329632274524,0.506594349974743,0.504164535550493,0.492515038032514,0.488566990618616,1.37055817982824
"0.65",0.493150158952968,0.485637439955779,0.496408041753248,0.50605411806587,0.504178657808475,0.491969689593929,0.488087341034098,1.50518358490199
"0.7",0.493859814910494,0.486194835904174,0.496934742583401,0.506107329439718,0.50485639627314,0.492206202840247,0.488268495306311,1.66671055726393
"0.75",0.495181143144549,0.487008088379235,0.497808360371861,0.506261293438704,0.506202025685422,0.492588306735802,0.488623429243651,1.86949848474789
"0.8",0.496087279196527,0.487418726975289,0.498833266497141,0.505757596994168,0.507867940390654,0.492401232996378,0.488388509036842,2.13952357527625
"0.85",0.498049320751985,0.488548153225093,0.502141692251495,0.505853206130453,0.511650158969705,0.492781973979063,0.488842695322817,2.52293551769452
"0.9",0.500620992182294,0.489787194369688,0.508002490958418,0.505367955737529,0.517759854544245,0.492731737092865,0.489030896008886,3.1533298419304
