"","MMA","AIC","BIC","SAIC","SBIC","FULL","LASSO","unadj"
"0.1",0.9945,0.993,0.996,0.9965,0.9965,0.9905,0.994,0.9855
"0.15",0.9935,0.991,0.9935,0.995,0.9945,0.9895,0.991,0.972
"0.2",0.993,0.9925,0.9925,0.9955,0.9945,0.991,0.9935,0.9755
"0.25",0.995,0.9935,0.9945,0.997,0.9955,0.9905,0.993,0.9645
"0.3",0.993,0.992,0.9925,0.994,0.9945,0.99,0.9925,0.964
"0.35",0.994,0.9945,0.9915,0.997,0.993,0.9915,0.9935,0.961
"0.4",0.9935,0.9925,0.993,0.994,0.9945,0.9895,0.9935,0.9655
"0.45",0.996,0.995,0.9965,0.996,0.997,0.991,0.9945,0.961
"0.5",0.993,0.9915,0.9935,0.995,0.994,0.9885,0.991,0.9625
"0.55",0.9925,0.99,0.994,0.9925,0.9955,0.988,0.991,0.956
"0.6",0.997,0.994,0.9945,0.995,0.996,0.9915,0.9945,0.9545
"0.65",0.9945,0.9935,0.994,0.9955,0.9955,0.9925,0.995,0.9555
"0.7",0.9935,0.9905,0.993,0.9935,0.995,0.987,0.9905,0.9475
"0.75",0.9935,0.992,0.994,0.9975,0.995,0.9905,0.996,0.953
"0.8",0.9955,0.994,0.9965,0.997,0.9975,0.9905,0.9945,0.947
"0.85",0.9955,0.994,0.9935,0.9955,0.9965,0.9905,0.992,0.952
"0.9",0.994,0.992,0.991,0.995,0.994,0.989,0.994,0.9445
