"","MMA","AIC","BIC","SAIC","SBIC","FULL","LASSO","unadj"
"0.1",0.994,0.9885,0.9955,0.994,0.997,0.984,0.9915,0.9835
"0.15",0.9945,0.9915,0.9945,0.994,0.996,0.988,0.9915,0.978
"0.2",0.9945,0.9935,0.995,0.9955,0.9975,0.9845,0.991,0.9705
"0.25",0.9925,0.9905,0.992,0.994,0.995,0.989,0.9895,0.964
"0.3",0.99,0.9855,0.9895,0.991,0.9915,0.983,0.988,0.9705
"0.35",0.992,0.987,0.993,0.9925,0.996,0.9845,0.9895,0.965
"0.4",0.9925,0.99,0.993,0.995,0.995,0.987,0.991,0.9525
"0.45",0.9935,0.9915,0.9945,0.9955,0.997,0.988,0.9935,0.969
"0.5",0.994,0.9875,0.9915,0.9915,0.994,0.9865,0.9905,0.9595
"0.55",0.99,0.989,0.988,0.9915,0.992,0.983,0.9875,0.944
"0.6",0.993,0.987,0.9935,0.994,0.9955,0.9835,0.989,0.9575
"0.65",0.9895,0.982,0.9905,0.9905,0.9925,0.982,0.986,0.9465
"0.7",0.992,0.9885,0.991,0.9935,0.9925,0.9875,0.9915,0.9485
"0.75",0.992,0.989,0.9905,0.9905,0.9925,0.9865,0.9885,0.9535
"0.8",0.9895,0.9845,0.9895,0.993,0.992,0.985,0.9885,0.9545
"0.85",0.9885,0.9865,0.9895,0.99,0.992,0.9845,0.9845,0.9485
"0.9",0.989,0.9865,0.9885,0.9895,0.993,0.986,0.9865,0.9555
