"","MMA","AIC","BIC","SAIC","SBIC","FULL","LASSO","unadj"
"0.1",0.47044317696842,0.463320910182864,0.470020238238928,0.482290055566603,0.476859814930155,0.469052567948537,0.467507555056593,0.584683633526365
"0.15",0.470895744587419,0.462964354197415,0.471574326139389,0.481507975806966,0.478303486457817,0.469086667789537,0.467203410073811,0.641559396843948
"0.2",0.471939335744152,0.463702240436574,0.474240161226853,0.481924113655108,0.480594628983006,0.469831770139895,0.468045476194706,0.701278381515211
"0.25",0.471946005496101,0.463573463961937,0.475998526832112,0.481472580066369,0.481930391790038,0.46970588960102,0.467910770190104,0.761812311109196
"0.3",0.472132321435418,0.463835817605909,0.477465673753933,0.481539126199257,0.483184708025995,0.470173210926493,0.468106880124915,0.825579615752249
"0.35",0.471764225786217,0.463548944454539,0.477851988694462,0.480852834061601,0.483727895898837,0.469569761151452,0.467681167704007,0.893703749000774
"0.4",0.471329615410449,0.463470068718367,0.477984008250464,0.480733459011057,0.483899782959292,0.469640109050971,0.467554206906701,0.966482976838213
"0.45",0.471927242515609,0.463970065909889,0.478848032280616,0.480855772095729,0.484799394725869,0.470079477067886,0.467951173711913,1.04672368496632
"0.5",0.471176461777213,0.463602830065882,0.478687152036908,0.480412393155945,0.484747767588692,0.469565032674832,0.467229962854593,1.13455110458868
"0.55",0.471066950776843,0.463359158571281,0.479189773602884,0.479711688181267,0.485244084965344,0.469275187618913,0.467149179666853,1.23359113129778
"0.6",0.471326927057931,0.463670040087256,0.479340345658454,0.47990903022467,0.485776440093,0.469602845650113,0.467248928559053,1.34706208742292
"0.65",0.471459903475753,0.463603854229941,0.479637681789614,0.479240506414295,0.486371418103369,0.469264858258531,0.467027800298369,1.48073903080359
"0.7",0.47107395577621,0.463391585182718,0.47998579220691,0.478833466473443,0.486514089977052,0.468873152086622,0.466628899375957,1.64149017563156
"0.75",0.472490583042042,0.464798815156178,0.48287436241947,0.479826757370307,0.489097061178963,0.4701873362717,0.467796192470308,1.84330390881232
"0.8",0.472693580421408,0.464839866775391,0.483925519892086,0.479193956189497,0.489967939802272,0.469978372651202,0.467772361609856,2.11094419430463
"0.85",0.47243884266971,0.464510761025848,0.484607887279574,0.478419687085149,0.490418341517409,0.469483203789027,0.467079603934406,2.49187669131999
"0.9",0.473653001032707,0.465419964229461,0.485547690804113,0.478282318301755,0.49128038535887,0.469936168129851,0.467573468911466,3.11829422507125
